[2026-04-13 10:58:53 UTC] xrun -Q -unbuffered '-timescale' '1ns/1ns' '-sysv' '-access' '+rw' design.sv testbench.sv  
TOOL:	xrun	25.03-s001: Started on Apr 13, 2026 at 06:58:54 EDT
xrun: 25.03-s001: (c) Copyright 1995-2025 Cadence Design Systems, Inc.
	Top level design units:
		tb_mos2_model
Loading snapshot worklib.tb_mos2_model:sv .................... Done
xcelium> source /xcelium25.03/tools/xcelium/files/xmsimrc
xcelium> run
=================================================
 SIMULATION 1: TRANSFER CHARACTERISTICS (Ids vs Vgs)
=================================================

--- Device: L = 500 nm ---
Vgs(V)      Ids_Vds=0.1V(A)     Ids_Vds=0.5V(A)    Ids_Vds=1.0V(A)
  0.500       2.729640e-03       8.863547e-03       1.100461e-02
  0.600       2.774163e-03       9.207857e-03       1.164283e-02
  0.700       2.811816e-03       9.522977e-03       1.225396e-02
  0.800       2.843368e-03       9.810604e-03       1.283725e-02
  0.900       2.869507e-03       1.007246e-02       1.339228e-02
  1.000       2.890842e-03       1.031026e-02       1.391897e-02
  1.100       2.907919e-03       1.052567e-02       1.441750e-02
  1.200       2.921217e-03       1.072028e-02       1.488826e-02
  1.300       2.931166e-03       1.089563e-02       1.533181e-02
  1.400       2.938146e-03       1.105316e-02       1.574888e-02
  1.500       2.942493e-03       1.119423e-02       1.614027e-02

--- Device: L = 60 nm ---
Vgs(V)      Ids_Vds=0.1V(A)     Ids_Vds=0.5V(A)    Ids_Vds=1.0V(A)
--------    ----------------   ----------------   ----------------
 -4.500       1.848752e-13       4.290721e-13       8.895809e-13
 -4.390       4.127320e-13       9.578991e-13       1.985980e-12
 -4.280       9.214198e-13       2.138500e-12       4.433680e-12
 -4.170       2.057060e-12       4.774180e-12       9.898143e-12
 -4.060       4.592364e-12       1.065831e-11       2.209750e-11
 -3.950       1.025240e-11       2.379457e-11       4.933244e-11
 -3.840       2.288838e-11       5.312114e-11       1.101341e-10
 -3.730       5.109806e-11       1.185924e-10       2.458733e-10
 -3.620       1.140759e-10       2.647564e-10       5.489093e-10
 -3.510       2.546730e-10       5.910658e-10       1.225433e-09
 -3.400       5.685543e-10       1.319547e-09       2.735759e-09
 -3.290       1.269289e-09       2.945869e-09       6.107519e-09
 -3.180       2.833661e-09       6.576584e-09       1.363479e-08
 -3.070       6.326056e-09       1.468196e-08       3.043865e-08
 -2.960       1.412255e-08       3.277630e-08       6.794952e-08
 -2.850       3.152691e-08       7.316760e-08       1.516744e-07
 -2.740       7.037593e-08       1.633199e-07       3.385009e-07
 -2.630       1.570759e-07       3.644801e-07       7.551493e-07
 -2.520       3.504831e-07       8.130499e-07       1.683130e-06
 -2.410       7.815194e-07       1.811911e-06       3.744101e-06
 -2.300       1.740122e-06       4.029443e-06       8.245938e-06
 -2.190       3.861838e-06       8.887315e-06       1.744026e-05
 -2.080       8.390512e-06       1.891493e-05       3.576818e-05
 -1.970       1.757766e-05       3.905337e-05       7.089964e-05
 -1.860       3.548268e-05       7.771671e-05       1.338626e-04
 -1.750       6.789938e-05       1.466058e-04       2.369211e-04
 -1.640       1.204720e-04       2.577389e-04       3.896128e-04
 -1.530       1.951962e-04       4.185498e-04       5.957571e-04
 -1.420       2.888143e-04       6.287905e-04       8.531370e-04
 -1.310       3.949521e-04       8.814013e-04       1.155154e-03
 -1.200       5.071777e-04       1.165909e-03       1.493111e-03
 -1.090       6.205345e-04       1.471688e-03       1.858145e-03
 -0.980       7.317079e-04       1.789715e-03       2.242361e-03
 -0.870       8.386770e-04       2.113008e-03       2.639240e-03
 -0.760       9.403169e-04       2.436420e-03       3.043611e-03
 -0.650       1.036088e-03       2.756261e-03       3.451448e-03
 -0.540       1.125824e-03       3.069936e-03       3.859640e-03
 -0.430       1.209583e-03       3.375656e-03       4.265788e-03
 -0.320       1.287566e-03       3.672224e-03       4.668045e-03
 -0.210       1.360046e-03       3.958874e-03       5.064988e-03
 -0.100       1.427340e-03       4.235161e-03       5.455530e-03
  0.010       1.489778e-03       4.500870e-03       5.838839e-03
  0.120       1.547690e-03       4.755961e-03       6.214294e-03
  0.230       1.601399e-03       5.000517e-03       6.581436e-03
  0.340       1.651212e-03       5.234713e-03       6.939937e-03
  0.450       1.697418e-03       5.458790e-03       7.289576e-03
  0.560       1.740290e-03       5.673033e-03       7.630219e-03
  0.670       1.780078e-03       5.877760e-03       7.961802e-03
  0.780       1.817016e-03       6.073307e-03       8.284315e-03
  0.890       1.851320e-03       6.260021e-03       8.597797e-03
